"","ntree_ind","mtry_ind","nodesize_ind","mse_train","mse_valid"
"1",500,10,4,0.0136321590430657,0.0899970418729054
"2",500,10,5,0.0146050255870955,0.0894294271773731
"3",500,10,6,0.0158892884423301,0.0895760341320673
"4",500,10,7,0.0169294028964284,0.0900193187249824
"5",500,10,8,0.018352741410161,0.0896655259486069
"6",500,10,9,0.0195531858469296,0.089297016143488
"7",500,10,10,0.0208969204204774,0.089449652304779
"8",500,11,4,0.0136309932871212,0.0898335833004395
"9",500,11,5,0.0146188878777502,0.0895296827660196
"10",500,11,6,0.0156925264126178,0.0894363437224712
"11",500,11,7,0.0169543936782595,0.0895764775582859
"12",500,11,8,0.0179149937571051,0.089463611009124
"13",500,11,9,0.019155290878224,0.0899152152020546
"14",500,11,10,0.0205940686281423,0.0888561738886868
"15",500,12,4,0.0134375652070133,0.0895713438994629
"16",500,12,5,0.014486616632715,0.0894759608501775
"17",500,12,6,0.0154372564879825,0.0893078516793206
"18",500,12,7,0.0167034813590269,0.0890648553339229
"19",500,12,8,0.0178692032222571,0.0891862744772444
"20",500,12,9,0.0190578632942592,0.0891150904022766
"21",500,12,10,0.0201724717185253,0.0892044537725518
"22",500,13,4,0.0132758175529219,0.0893534744707418
"23",500,13,5,0.0144498571649618,0.0894899838184685
"24",500,13,6,0.0153857116024053,0.0895794728955223
"25",500,13,7,0.0165812681196402,0.0895601433421906
"26",500,13,8,0.0176411623882196,0.0893705296294359
"27",500,13,9,0.0189156605819852,0.0894874624116173
"28",500,13,10,0.0200905254327524,0.0891631454869171
"29",500,14,4,0.0134477306616953,0.0895980702423308
"30",500,14,5,0.0145675690378015,0.08990123591376
"31",500,14,6,0.0153017219518756,0.0896348994960363
"32",500,14,7,0.0165261176892273,0.0890278515836882
"33",500,14,8,0.0176111989950883,0.0900103767356285
"34",500,14,9,0.0187449679637919,0.089351297962293
"35",500,14,10,0.0197479807482519,0.0892614375510002
"36",500,15,4,0.0134560300855468,0.0901528324908009
"37",500,15,5,0.0144151110638239,0.0893670784368167
"38",500,15,6,0.0153060085447439,0.0896018245180866
"39",500,15,7,0.0164233218477045,0.0892764840345348
"40",500,15,8,0.0176433284082247,0.0899146039854569
"41",500,15,9,0.0186884712431879,0.0898645504860279
"42",500,15,10,0.0196883679361098,0.0893063716642351
"43",550,10,4,0.0134716034895812,0.0897791818501279
"44",550,10,5,0.0146910949108798,0.0895381707686004
"45",550,10,6,0.0160108032275877,0.0895223286242293
"46",550,10,7,0.0172759258258881,0.0897659031772683
"47",550,10,8,0.0182375250495517,0.0894915804978675
"48",550,10,9,0.0194890443086216,0.0896018440469788
"49",550,10,10,0.0207556068604612,0.0896436416774997
"50",550,11,4,0.0136095765017923,0.0891151982462801
"51",550,11,5,0.0145278514644888,0.0893866613686077
"52",550,11,6,0.0157045105834367,0.0894821967554343
"53",550,11,7,0.0169033296523536,0.0892309947017092
"54",550,11,8,0.0180771841253867,0.0897649961044204
"55",550,11,9,0.0192068181005641,0.0896464018282821
"56",550,11,10,0.0204703568848521,0.0892924369748641
"57",550,12,4,0.0134914493359838,0.0895231012400398
"58",550,12,5,0.0145059260319856,0.0898918504080513
"59",550,12,6,0.0154302907224206,0.0888252430825073
"60",550,12,7,0.016585868751839,0.0891199150865275
"61",550,12,8,0.0178527201676567,0.088981683343186
"62",550,12,9,0.0190577040684572,0.0898641834721068
"63",550,12,10,0.0203096222800066,0.0891308290954907
"64",550,13,4,0.0134643281256138,0.0893943032768497
"65",550,13,5,0.0144595431505043,0.0898597233162853
"66",550,13,6,0.015370106654831,0.0891732130856376
"67",550,13,7,0.0165290328977288,0.0893125934166396
"68",550,13,8,0.017697498647204,0.0893358579408383
"69",550,13,9,0.0188910223450627,0.0893049526070374
"70",550,13,10,0.0200156099211518,0.089026443114679
"71",550,14,4,0.0133344759773351,0.0894841800948589
"72",550,14,5,0.0145172933126128,0.089706177605874
"73",550,14,6,0.0154290519563424,0.0892192562013658
"74",550,14,7,0.0163442089634835,0.0899529441946666
"75",550,14,8,0.0174415996706107,0.0892476136224323
"76",550,14,9,0.0186495334539252,0.0896078926412377
"77",550,14,10,0.0199481649971118,0.0895804009757813
"78",550,15,4,0.0135517055154373,0.0898900335933042
"79",550,15,5,0.0141932674506008,0.0891552204310825
"80",550,15,6,0.0153944708174476,0.0899292988356332
"81",550,15,7,0.016334656240182,0.0895310601760489
"82",550,15,8,0.0175854871960294,0.0891253644949263
"83",550,15,9,0.0185932103242366,0.0894356086934758
"84",550,15,10,0.0197650499016194,0.0894061322617488
"85",600,10,4,0.0137639690806187,0.0892077591149726
"86",600,10,5,0.0146295584397031,0.0893971467231598
"87",600,10,6,0.0158157130505229,0.0895229921440133
"88",600,10,7,0.0170119451777086,0.0895564230062132
"89",600,10,8,0.0182946198398369,0.0896626038875575
"90",600,10,9,0.0195514849934399,0.0896677941428658
"91",600,10,10,0.0208655855041668,0.0894450510002744
"92",600,11,4,0.0135796125739698,0.0898345813471241
"93",600,11,5,0.0145609847581183,0.0888933368078771
"94",600,11,6,0.0157920605484671,0.0891708965676841
"95",600,11,7,0.0167245444993103,0.0898268867040732
"96",600,11,8,0.018056642254259,0.0897283030843054
"97",600,11,9,0.0190908131154742,0.0890673703086036
"98",600,11,10,0.0203905060295894,0.0892577738643822
"99",600,12,4,0.0133447150624964,0.0888340450633263
"100",600,12,5,0.0144278638771209,0.0894526523988283
"101",600,12,6,0.0155958119550644,0.0893159048981893
"102",600,12,7,0.0167886763062792,0.0890097431118918
"103",600,12,8,0.0176509910734008,0.088696354208017
"104",600,12,9,0.0190672126983504,0.0891074390134484
"105",600,12,10,0.0201350268310052,0.0894856410789829
"106",600,13,4,0.0133868291611788,0.0896772302605796
"107",600,13,5,0.0143758799517831,0.0894482759134953
"108",600,13,6,0.015527461112698,0.0893752953380535
"109",600,13,7,0.0166596716707129,0.089051140384048
"110",600,13,8,0.0176834189052717,0.0894951922366186
"111",600,13,9,0.0188255194318398,0.0891351637220942
"112",600,13,10,0.020033488655116,0.0888670265007486
"113",600,14,4,0.0133911431237794,0.089331665984739
"114",600,14,5,0.0143645174273092,0.0894579315753562
"115",600,14,6,0.0153086252601401,0.0893215181643939
"116",600,14,7,0.0164660179934778,0.0897011320383977
"117",600,14,8,0.017601136850634,0.089328197700317
"118",600,14,9,0.0187361587202857,0.0893628874880098
"119",600,14,10,0.0199768929660681,0.0891316901668739
"120",600,15,4,0.0133856036069756,0.0895427371522842
"121",600,15,5,0.0142551826220055,0.0894822220761944
"122",600,15,6,0.0152644459614599,0.0896123520482358
"123",600,15,7,0.0163442457979867,0.0892426217325708
"124",600,15,8,0.017330160557055,0.0891963705302512
"125",600,15,9,0.018632884246502,0.0898130255174956
"126",600,15,10,0.0196400437640424,0.0894759399814156
"127",650,10,4,0.0137278423425647,0.0893672771235409
"128",650,10,5,0.0146558850580299,0.0895515695631097
"129",650,10,6,0.0157087419136316,0.0897802765256596
"130",650,10,7,0.0170551742071719,0.0897870398284014
"131",650,10,8,0.0183162753875025,0.0897303616584212
"132",650,10,9,0.0194028099751676,0.0896807990527151
"133",650,10,10,0.0207495252124029,0.0887020674836369
"134",650,11,4,0.0134628404408762,0.0891190873861727
"135",650,11,5,0.014613022055791,0.0894104697231183
"136",650,11,6,0.0157420824587085,0.089681741160732
"137",650,11,7,0.0167916233137741,0.0890627997494136
"138",650,11,8,0.0182096089827649,0.089132934940801
"139",650,11,9,0.019183484315562,0.0893066312981709
"140",650,11,10,0.0203863282079267,0.0888726446947352
"141",650,12,4,0.0134687876709066,0.0891019612764739
"142",650,12,5,0.014495574709644,0.0893570775550709
"143",650,12,6,0.0155830311546144,0.089035698080228
"144",650,12,7,0.0168293809837539,0.0890647811050166
"145",650,12,8,0.0178007033153791,0.0890667472510428
"146",650,12,9,0.01915540086917,0.0894305920100958
"147",650,12,10,0.0202330843111232,0.0893448450028504
"148",650,13,4,0.0133798736129337,0.0894597697968155
"149",650,13,5,0.0144162891377859,0.08930259240925
"150",650,13,6,0.0154103959593564,0.0890862545100048
"151",650,13,7,0.0165307888291465,0.088943695263583
"152",650,13,8,0.0175945875365723,0.0894349811371486
"153",650,13,9,0.0187156985732982,0.0892937686498414
"154",650,13,10,0.0201284420943943,0.0890037072949015
"155",650,14,4,0.0133226315088286,0.0896231453204644
"156",650,14,5,0.014294533453893,0.0895348222715741
"157",650,14,6,0.0153582704220116,0.0894106793265926
"158",650,14,7,0.0164727185024897,0.0898761511157936
"159",650,14,8,0.0175798020520839,0.0893033892291238
"160",650,14,9,0.0187042936043566,0.0897125704674633
"161",650,14,10,0.0198540780451475,0.0894863370848726
"162",650,15,4,0.0133901044040334,0.0889409776708033
"163",650,15,5,0.0144519187436972,0.0893756281260894
"164",650,15,6,0.0153464545248608,0.0899842572420048
"165",650,15,7,0.0164348429263986,0.0892427798264117
"166",650,15,8,0.017423885035612,0.0896662056411049
"167",650,15,9,0.0184760169589275,0.08904310088685
"168",650,15,10,0.0196314189519886,0.0895869391113608
"169",700,10,4,0.0135672588092121,0.0896432999868847
"170",700,10,5,0.0146142952083529,0.089352595052173
"171",700,10,6,0.0159020170796028,0.0891473064316649
"172",700,10,7,0.0171074973676102,0.0893712090047409
"173",700,10,8,0.0182214392292819,0.089400733114841
"174",700,10,9,0.0196068171175244,0.089591249334607
"175",700,10,10,0.0208533317413249,0.0892487596210682
"176",700,11,4,0.013469062836658,0.0892206276170553
"177",700,11,5,0.0144809383645376,0.0895833316749454
"178",700,11,6,0.0157693409363832,0.0894529652041882
"179",700,11,7,0.0167359820488157,0.0895366035572131
"180",700,11,8,0.0181422221626285,0.089305618169778
"181",700,11,9,0.0194660584897079,0.089763001818085
"182",700,11,10,0.0205085296329596,0.0899714833011162
"183",700,12,4,0.013362075706046,0.0894611482836126
"184",700,12,5,0.0145287026965011,0.0888528083164699
"185",700,12,6,0.0157316397651485,0.0891527774364871
"186",700,12,7,0.0166347348793346,0.0894124041148318
"187",700,12,8,0.017806131182221,0.0892120622349036
"188",700,12,9,0.0189012533334464,0.0893712694721707
"189",700,12,10,0.0201392367470749,0.0889353405174443
"190",700,13,4,0.0133669082101913,0.0893699270231095
"191",700,13,5,0.0143925464898068,0.0893062818062383
"192",700,13,6,0.0155062728680981,0.0897461943495801
"193",700,13,7,0.0165696008157493,0.0894065405088521
"194",700,13,8,0.0177657874082785,0.0893626268123837
"195",700,13,9,0.0189379268670063,0.0888262809290049
"196",700,13,10,0.0200663762126148,0.0894302358875336
"197",700,14,4,0.0135412406419857,0.0892250543007601
"198",700,14,5,0.0142423597334506,0.0894244056538657
"199",700,14,6,0.0155634589635468,0.089202166279436
"200",700,14,7,0.0164155832734411,0.0895196289113743
"201",700,14,8,0.0176894083436586,0.0888348617972011
"202",700,14,9,0.0186579873100201,0.0894545848178815
"203",700,14,10,0.0197982692116787,0.0895797758436359
"204",700,15,4,0.0133585782430519,0.0894279516915944
"205",700,15,5,0.0145076741254256,0.0891399478251208
"206",700,15,6,0.0153004736989894,0.0896938179739252
"207",700,15,7,0.0162692966673477,0.0894931644514666
"208",700,15,8,0.017422487699899,0.0897503482790886
"209",700,15,9,0.0185939607082239,0.0897559140336672
"210",700,15,10,0.0198496732506548,0.0893465570188464
"211",750,10,4,0.0134412471582995,0.0892161413894766
"212",750,10,5,0.0146540524898725,0.0895971632688627
"213",750,10,6,0.0159246108907925,0.089570819074518
"214",750,10,7,0.0171291261555785,0.0897273657417495
"215",750,10,8,0.0183951361403436,0.0887370881100561
"216",750,10,9,0.01954930874498,0.0890329720362262
"217",750,10,10,0.0208642222385549,0.0893707033187461
"218",750,11,4,0.0134539087552037,0.0893479392684152
"219",750,11,5,0.0144392972645778,0.0892566205127839
"220",750,11,6,0.0157270654990544,0.089341309241612
"221",750,11,7,0.0168786537958843,0.0891656595268499
"222",750,11,8,0.0180930552280697,0.0893551665482584
"223",750,11,9,0.0191675305522591,0.0891007500591981
"224",750,11,10,0.0204481365716209,0.0890244357495508
"225",750,12,4,0.0134064951679659,0.0896779715785418
"226",750,12,5,0.0145726668068977,0.08891176985892
"227",750,12,6,0.0155907122362042,0.0893670197186763
"228",750,12,7,0.0167131353562667,0.0893546771341665
"229",750,12,8,0.0177381180007668,0.0894311183586854
"230",750,12,9,0.0189523204216519,0.0894566748039553
"231",750,12,10,0.0202614064607039,0.0891192581982611
"232",750,13,4,0.0134011119730857,0.0892470415089164
"233",750,13,5,0.0143973345447064,0.0893191819726141
